TIMESTAMP,data,Temp,RH,CO2,VPD
2020-05-13 23:50,80,18.97333333,51.28,433.7,1.064341547
2020-05-13 23:51,81,18.99666667,51.15666667,435.9333333,1.06847135
2020-05-13 23:52,82,19.05333333,51.01333333,434.9333333,1.075324397
2020-05-13 23:53,83,19.09,50.83333333,434.3333333,1.081609846
2020-05-13 23:54,84,19.12,50.62666667,434.8,1.08810529
2020-05-13 23:55,85,19.17666667,50.42333333,434.6,1.09634811
2020-05-13 23:56,86,19.24,50.09666667,435.8666667,1.107921748
2020-05-13 23:57,87,19.29333333,49.86666667,434.5,1.116627089
2020-05-13 23:58,88,19.37333333,49.28,434.1333333,1.135254785
2020-05-13 23:59,89,19.41666667,48.93,433.9333333,1.146167587
2020-05-14 0:00,90,19.41333333,49.43333333,433.9666667,1.134869082
2020-05-14 0:01,91,19.37,49.51,433.9,1.130070697
2020-05-14 0:02,92,19.33333333,49.56333333,434.7333333,1.126462292
2020-05-14 0:03,93,19.27666667,49.74333333,432.6666667,1.118687284
2020-05-14 0:04,94,19.24,49.95666667,433.3,1.1116058
2020-05-14 0:05,95,19.19666667,49.99333333,434.3,1.107739954
2020-05-14 0:06,96,19.14666667,50.02666667,433.8,1.103756209
2020-05-14 0:07,97,19.09,50.34333333,433.5333333,1.093068674
2020-05-14 0:08,98,19.05333333,50.65666667,435.3333333,1.08377424
2020-05-14 0:09,99,19.00333333,50.89666667,433.7333333,1.075021325
2020-05-14 0:10,100,18.99,50.83,432.9666667,1.075494909
2020-05-14 0:11,101,19.01333333,50.76666667,432.9333333,1.07826445
2020-05-14 0:12,102,19.06,50.67666667,433.8,1.083236285
2020-05-14 0:13,103,19.11666667,50.57,432.4333333,1.0892765
2020-05-14 0:14,104,19.16333333,50.41666667,432.2333333,1.09566648
2020-05-14 0:15,105,19.22,50.26666667,432.9333333,1.102773402
2020-05-14 0:16,106,19.28,50.08333333,430.2666667,1.110938426
2020-05-14 0:17,107,19.36666667,49.59666667,433.3,1.127811533
2020-05-14 0:18,108,19.38666667,49.3,433.0666667,1.135797805
2020-05-14 0:19,109,19.36333333,49.79333333,432.5666667,1.12328888
2020-05-14 0:20,110,19.33333333,49.94,432.7333333,1.118004624
2020-05-14 0:21,111,19.31,50.01,431.8666667,1.115016189
2020-05-14 0:22,112,19.24333333,49.32,430.6333333,1.125599846
2020-05-14 0:23,113,19.16666667,48.53666667,432.2666667,1.137937607
2020-05-14 0:24,114,19.07,49.52333333,432.1333333,1.109927845
2020-05-14 0:25,115,19.02,50.82333333,432.8333333,1.078271459
2020-05-14 0:26,116,18.95666667,51.62666667,432.3,1.056432748
2020-05-14 0:27,117,18.92666667,51.64333333,431.2,1.053949246
2020-05-14 0:28,118,18.92333333,51.6,432.7666667,1.054530818
2020-05-14 0:29,119,18.94666667,51.57333333,434.3666667,1.056458936
2020-05-14 0:30,120,18.96666667,51.48,433.8333333,1.059638295
2020-05-14 0:31,121,19.00666667,51.3,432.3333333,1.066036127
2020-05-14 0:32,122,19.05333333,51.18333333,433.1,1.071552465
2020-05-14 0:33,123,19.11333333,51.03333333,430.6333333,1.078793998
2020-05-14 0:34,124,19.18666667,50.87333333,431,1.087148266
2020-05-14 0:35,125,19.22666667,50.67,432,1.094242492
2020-05-14 0:36,126,19.3,50.40333333,431.9666667,1.105072505
2020-05-14 0:37,127,19.37,50.2,432.0333333,1.114387486
2020-05-14 0:38,128,19.46,50.03333333,432.1666667,1.12432329
2020-05-14 0:39,129,19.50333333,49.83666667,432.8666667,1.131715574
2020-05-14 0:40,130,19.58,49.57,433.3,1.143085485
2020-05-14 0:41,131,19.63333333,49.15666667,433.8333333,1.156254283
2020-05-14 0:42,132,19.62666667,49.65666667,433.3666667,1.144426738
2020-05-14 0:43,133,19.56666667,49.80666667,434.2666667,1.136798417
2020-05-14 0:44,134,19.48333333,49.83333333,434,1.130436811
2020-05-14 0:45,135,19.41,50.00666667,434.4,1.121567412
2020-05-14 0:46,136,19.36666667,50.28,435.1666667,1.112548821
2020-05-14 0:47,137,19.30666667,50.62666667,435.7,1.100617348
2020-05-14 0:48,138,19.26,50.73666667,435.5333333,1.094931291
2020-05-14 0:49,139,19.24333333,50.71333333,434.8,1.094278384
2020-05-14 0:50,140,19.27333333,50.64666667,434.2,1.097788062
2020-05-14 0:51,141,19.28666667,50.59666667,433.8333333,1.099752463
2020-05-14 0:52,142,19.31333333,50.43333333,433.2,1.105188832
2020-05-14 0:53,143,19.37333333,50.17333333,432.8333333,1.115091789
2020-05-14 0:54,144,19.42666667,49.91,433.4,1.124710031
2020-05-14 0:55,145,19.43,50.23,434.0333333,1.117699966
2020-05-14 0:56,146,19.38,50.30666667,434.6,1.112481064
2020-05-14 0:57,147,19.33666667,50.45333333,434.9,1.106193982
2020-05-14 0:58,148,19.26666667,50.66,435.4333333,1.096797643
2020-05-14 0:59,149,19.21666667,50.73666667,436.1333333,1.091683837
2020-05-14 1:00,150,19.15,50.66333333,434.0333333,1.088778431
2020-05-14 1:01,151,19.08666667,50.96333333,434.0333333,1.077901295
2020-05-14 1:02,152,19.01,51.22333333,434.0666667,1.067097221
2020-05-14 1:03,153,18.97333333,51.31666667,435.2,1.062648001
2020-05-14 1:04,154,18.91333333,51.17666667,434.9,1.061735551
2020-05-14 1:05,155,18.91,50.93333333,433.1666667,1.066811621
